568,Simi Fehoko,WR,1.8,5.4
569,D'Ernest Johnson,RB,0.5,5.4
570,Larry Rountree III,RB,1.8,5.3
571,Montrell Washington,WR,0.3,5.2
571,Jonathan Ward,RB,1.3,5.2
573,Blaine Gabbert,QB,5.2,5.2
574,Penny Hart,WR,1.7,5
575,Jesper Horsted,TE,1,4.9
576,Jaelon Darden,WR,0.3,4.8
577,Adam Prentice,RB,0.8,4.8
577,Maxx Williams,TE,1.6,4.8
577,Tyrie Cleveland,WR,1,4.8
580,Giovani Bernard,RB,1.2,4.7
581,Daylen Baldwin,WR,4.5,4.5
581,Bryan Edwards,WR,1.1,4.5
583,Dareke Young,WR,0.6,4.4
583,Dezmon Patmon,WR,4.4,4.4
585,Cole Turner,TE,0.6,4.3
586,Mike Davis,RB,0.8,4.2
587,Andy Isabella,WR,1.1,4.2
588,Cade Johnson,WR,2.1,4.1
588,Pharoh Cooper,WR,0.8,4.1
590,Lil'Jordan Humphrey,WR,1,4
591,Stephen Anderson,TE,0.4,3.9
592,Keith Kirkwood,WR,1.3,3.8
592,Michael Burton,RB,0.3,3.8
594,Dennis Houston,WR,1.8,3.6
595,Quintez Cephus,WR,1.2,3.5
596,Nsimba Webster,WR,3.4,3.4
597,Austin Trammell,WR,1.7,3.3
598,Jalen Tolbert,WR,1.1,3.2
599,Miles Boykin,WR,0.3,3.1
599,Sean McKeon,TE,1,3.1
601,Josh Lambo,K,3,3
602,Danny Gray,WR,0.4,2.9
603,J.J. Taylor,RB,2.7,2.7
603,Juwann Winfree,WR,0.9,2.7
605,Mason Schreck,TE,1.3,2.6
605,DJ Turner,WR,0.4,2.6
607,Frank Darby,WR,2.5,2.5
607,Devin Asiasi,TE,0.5,2.5
609,Demetric Felton Jr.,RB,0.4,2.4
610,Ty Chandler,RB,1,2
610,Keith Smith,RB,0.2,2
612,Trey Sermon,RB,1.9,1.9
612,Damarea Crockett,RB,1.9,1.9
614,Tyron Johnson,WR,0.9,1.8
614,Jeremy Ruckert,TE,0.9,1.8
616,Drew Sample,TE,0.9,1.8
617,Jalen Camp,WR,1.7,1.7
617,Godwin Igwebuike,RB,0.3,1.7
617,Braylon Sanders,WR,0.9,1.7
617,Maurice Alexander,WR,0.6,1.7
617,Devine Ozigbo,RB,0.6,1.7
617,Tommy Sweeney,TE,0.9,1.7
623,C.J. Board,WR,0.4,1.6
623,Jacob Harris,TE,0.5,1.6
625,Jason Moore Jr.,WR,1.5,1.5
625,Ty'Son Williams,RB,1.5,1.5
627,Brian Hoyer,QB,1.5,1.5
628,Richard Rodgers,TE,0.5,1.4
629,Jacob Eason,QB,1.4,1.4
630,Mason Kinsey,WR,0.7,1.3
630,Erik Ezukanma,WR,1.3,1.3
632,Deonte Harty,WR,0.3,1.3
633,Cody White,WR,1.2,1.2
633,Jerome Ford,RB,0.1,1.2
635,Keke Coutee,WR,0.1,1
636,Kyle Trask,QB,0.9,0.9
637,Reggie Bonnafon,RB,0.8,0.8
638,Brandon Allen,QB,0.8,0.8
639,Kylin Hill,RB,0.7,0.7
639,Josh Johnson,QB,0.7,0.7
641,Duke Johnson Jr.,RB,0.4,0.4
641,Ihmir Smith-Marsette,WR,0.1,0.4
643,Case Keenum,QB,0.2,0.3
644,Damien Williams,RB,0.2,0.2
645,Jordan Howard,RB,0.1,0.1
646,Qadree Ollison,RB,0,0
646,Nick Boyle,TE,0,0
646,Jashaun Corbin,RB,0,0
646,Emeka Emezie,WR,0,0
646,Chris Pierce Jr.,TE,0,0
646,Alex Erickson,WR,0,0
646,Alex Bachman,WR,0,0
646,Lance McCutcheon,WR,0,0
646,Trenton Cannon,RB,0,0
646,Bryant Koback,RB,0,0
646,Tay Martin,WR,0,0
646,Kirk Merritt,WR,0,0
646,Nikola Kalinic,TE,0,0
646,James Washington,WR,0,0
646,Matt Corral,QB,0,0
646,Davis Cheek,QB,0,0
646,Austin Allen,TE,0,0
646,Jared Pinkney,TE,0,0
646,Rico Dowdle,RB,0,0
646,Josh Gordon,WR,0,0
646,Tanner Conner,WR,0,0
